Rk,G,Date,H_A,Opp_Team,W_L,Tm,Opp,FG,FGA,FGper,3P,3PA,3Pper,FT,FTA,FTper,ORB,TRB,AST,STL,BLK,TOV,PF,Blank,Opp_FG,Opp_FGA,Opp_FGper,Opp_3P,Opp_3PA,Opp_3Pper,Opp_FT,Opp_FTA,Opp_FTper,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,nba_season,gamelog_team
5,5,2021-10-27,,MIA,L,93,106,33,85,.388,14,43,.326,13,14,.929,4,42,21,7,7,15,24,NA,38,96,.396,8,29,.276,22,26,.846,17,62,21,6,2,14,19,2022,BRK
6,6,2021-10-29,,IND,W,105,98,34,76,.447,6,26,.231,31,41,.756,10,50,20,9,6,18,21,NA,37,93,.398,8,29,.276,16,23,.696,11,46,20,9,7,14,27,2022,BRK
7,7,2021-10-31,,DET,W,117,91,47,72,.653,13,25,.520,10,16,.625,2,41,30,7,2,19,19,NA,32,79,.405,12,33,.364,15,22,.682,7,29,21,12,3,15,18,2022,BRK
8,8,2021-11-03,,ATL,W,117,108,43,88,.489,22,48,.458,9,12,.750,7,42,34,7,8,14,18,NA,41,94,.436,13,35,.371,13,15,.867,12,52,23,8,4,14,16,2022,BRK
9,9,2021-11-05,@,DET,W,96,90,36,80,.450,11,27,.407,13,14,.929,4,45,25,3,4,16,21,NA,33,87,.379,11,34,.324,13,18,.722,7,44,17,11,6,13,22,2022,BRK
10,10,2021-11-07,@,TOR,W,116,103,41,80,.513,17,38,.447,17,20,.850,12,48,29,3,0,15,15,NA,41,87,.471,7,30,.233,14,18,.778,8,35,23,10,6,8,16,2022,BRK
11,11,2021-11-08,@,CHI,L,95,118,34,86,.395,11,33,.333,16,19,.842,6,42,19,6,7,14,16,NA,46,98,.469,9,31,.290,17,20,.850,15,56,21,8,5,9,17,2022,BRK
12,12,2021-11-10,@,ORL,W,123,90,46,91,.505,16,37,.432,15,17,.882,8,49,29,8,5,15,18,NA,35,92,.380,4,33,.121,16,24,.667,12,49,19,10,3,17,18,2022,BRK
13,13,2021-11-12,@,NOP,W,120,112,41,82,.500,18,34,.529,20,27,.741,7,34,27,9,4,12,20,NA,43,88,.489,13,32,.406,13,16,.813,12,43,26,6,5,15,26,2022,BRK
14,14,2021-11-14,@,OKC,W,120,96,41,82,.500,18,43,.419,20,21,.952,7,44,31,8,3,13,15,NA,36,90,.400,14,45,.311,10,11,.909,10,44,20,9,2,14,22,2022,BRK
15,15,2021-11-16,,GSW,L,99,117,34,88,.386,10,36,.278,21,27,.778,9,38,21,12,2,11,23,NA,41,79,.519,13,40,.325,22,28,.786,9,53,25,4,8,21,27,2022,BRK
16,16,2021-11-17,,CLE,W,109,99,38,83,.458,12,32,.375,21,25,.840,8,47,29,7,3,11,20,NA,35,89,.393,11,44,.250,18,21,.857,12,50,20,9,1,13,17,2022,BRK
17,17,2021-11-19,,ORL,W,115,113,41,91,.451,10,33,.303,23,25,.920,14,43,19,6,13,11,19,NA,40,89,.449,14,38,.368,19,25,.760,11,45,26,7,6,13,25,2022,BRK
18,18,2021-11-22,@,CLE,W,117,112,45,95,.474,11,35,.314,16,18,.889,8,42,32,6,6,9,23,NA,36,93,.387,14,44,.318,26,29,.897,14,53,24,6,5,12,16,2022,BRK
19,19,2021-11-24,@,BOS,W,123,104,43,85,.506,14,35,.400,23,30,.767,10,50,29,8,4,10,23,NA,34,91,.374,11,48,.229,25,28,.893,15,45,25,6,5,11,24,2022,BRK
20,20,2021-11-27,,PHO,L,107,113,42,84,.500,7,23,.304,16,21,.762,10,47,25,7,5,20,15,NA,41,92,.446,13,38,.342,18,21,.857,11,41,17,11,1,12,17,2022,BRK
21,21,2021-11-30,,NYK,W,112,110,41,85,.482,8,28,.286,22,25,.880,9,38,27,7,7,9,14,NA,44,91,.484,11,32,.344,11,12,.917,10,42,27,5,2,10,21,2022,BRK
22,22,2021-12-03,,MIN,W,110,105,36,76,.474,6,23,.261,32,41,.780,7,41,26,4,4,17,31,NA,36,93,.387,13,42,.310,20,24,.833,16,44,22,5,4,15,25,2022,BRK
23,23,2021-12-04,,CHI,L,107,111,46,111,.414,8,25,.320,7,9,.778,15,55,28,8,6,5,19,NA,41,86,.477,10,31,.323,19,27,.704,7,47,22,4,10,9,12,2022,BRK
24,24,2021-12-07,@,DAL,W,102,99,42,83,.506,8,26,.308,10,13,.769,8,50,28,3,4,12,22,NA,36,90,.400,9,46,.196,18,22,.818,10,39,21,6,2,4,15,2022,BRK
25,25,2021-12-08,@,HOU,L,104,114,35,89,.393,8,33,.242,26,31,.839,14,44,18,7,3,13,23,NA,40,81,.494,14,41,.341,20,29,.690,9,38,23,9,9,13,23,2022,BRK
26,26,2021-12-10,@,ATL,W,113,105,46,93,.495,6,23,.261,15,16,.938,9,41,26,9,7,13,22,NA,37,94,.394,11,34,.324,20,24,.833,16,49,21,10,3,14,19,2022,BRK
27,27,2021-12-12,@,DET,W,116,104,41,87,.471,11,28,.393,23,25,.920,8,43,28,8,6,17,20,NA,39,92,.424,14,37,.378,12,18,.667,8,40,24,11,5,19,22,2022,BRK
28,28,2021-12-14,,TOR,W,131,129,50,103,.485,14,39,.359,17,23,.739,19,60,28,7,5,16,20,NA,48,105,.457,18,52,.346,15,19,.789,13,41,26,6,6,12,21,2022,BRK
29,29,2021-12-16,,PHI,W,114,105,44,89,.494,11,23,.478,15,16,.938,10,48,21,4,3,14,15,NA,39,89,.438,10,34,.294,17,20,.850,5,38,19,10,4,9,22,2022,BRK
30,30,2021-12-18,,ORL,L,93,100,39,102,.382,9,46,.196,6,8,.750,16,51,24,8,8,15,14,NA,39,94,.415,10,31,.323,12,13,.923,12,50,20,6,4,16,14,2022,BRK
31,31,2021-12-25,@,LAL,W,122,115,43,89,.483,14,32,.438,22,27,.815,6,41,31,6,9,10,25,NA,40,96,.417,10,35,.286,25,28,.893,12,47,29,8,5,13,23,2022,BRK
32,32,2021-12-27,@,LAC,W,124,108,50,88,.568,13,34,.382,11,16,.688,7,47,31,7,8,13,25,NA,37,97,.381,14,37,.378,20,27,.741,17,45,25,7,4,11,17,2022,BRK
33,33,2021-12-30,,PHI,L,102,110,37,81,.457,7,27,.259,21,27,.778,12,52,21,4,9,17,22,NA,42,100,.420,13,32,.406,13,20,.650,14,43,22,10,4,7,20,2022,BRK
34,34,2022-01-01,,LAC,L,116,120,42,97,.433,11,33,.333,21,25,.840,17,57,26,9,2,14,20,NA,42,86,.488,14,36,.389,22,31,.710,7,40,23,7,6,10,19,2022,BRK
35,35,2022-01-03,,MEM,L,104,118,37,82,.451,9,31,.290,21,26,.808,8,33,28,10,10,12,20,NA,48,102,.471,10,35,.286,12,21,.571,23,61,24,11,5,12,21,2022,BRK
36,36,2022-01-05,@,IND,W,129,121,49,86,.570,5,21,.238,26,29,.897,9,38,28,13,4,11,20,NA,41,82,.500,13,39,.333,26,28,.929,7,33,26,3,5,15,19,2022,BRK
37,37,2022-01-07,,MIL,L,109,121,42,92,.457,6,27,.222,19,20,.950,14,49,23,8,5,10,16,NA,44,96,.458,16,45,.356,17,21,.810,13,45,21,6,3,10,20,2022,BRK
38,38,2022-01-09,,SAS,W,121,119,47,98,.480,8,28,.286,19,22,.864,13,55,26,8,8,21,18,NA,46,107,.430,13,32,.406,14,18,.778,12,44,33,12,8,15,19,2022,BRK
39,39,2022-01-10,@,POR,L,108,114,42,91,.462,12,32,.375,12,15,.800,12,42,23,9,6,15,22,NA,40,86,.465,15,38,.395,19,26,.731,11,47,23,8,9,13,17,2022,BRK
40,40,2022-01-12,@,CHI,W,138,112,49,87,.563,17,32,.531,23,28,.821,7,41,35,11,4,9,21,NA,38,81,.469,11,30,.367,25,31,.806,10,35,22,5,6,17,20,2022,BRK
41,41,2022-01-13,,OKC,L,109,130,41,98,.418,7,32,.219,20,22,.909,21,50,16,7,11,12,19,NA,47,91,.516,20,45,.444,16,18,.889,9,38,32,8,7,10,19,2022,BRK
42,42,2022-01-15,,NOP,W,120,105,46,84,.548,12,27,.444,16,17,.941,9,44,30,5,5,14,21,NA,40,87,.460,9,31,.290,16,24,.667,12,35,27,9,3,11,18,2022,BRK
43,43,2022-01-17,@,CLE,L,107,114,41,83,.494,12,30,.400,13,18,.722,8,35,27,11,4,14,22,NA,42,81,.519,11,32,.344,19,21,.905,8,40,26,7,3,15,14,2022,BRK
44,44,2022-01-19,@,WAS,W,119,118,47,89,.528,8,25,.320,17,20,.850,7,36,23,5,4,12,25,NA,41,86,.477,10,29,.345,26,32,.813,13,40,23,6,8,12,19,2022,BRK
45,45,2022-01-21,@,SAS,W,117,102,48,100,.480,9,25,.360,12,12,1.000,12,53,24,3,5,7,17,NA,37,95,.389,8,29,.276,20,24,.833,16,49,24,3,7,6,13,2022,BRK
46,46,2022-01-23,@,MIN,L,125,136,48,95,.505,15,38,.395,14,15,.933,16,48,27,4,1,17,29,NA,48,92,.522,14,32,.438,26,31,.839,10,37,24,11,7,9,17,2022,BRK
47,47,2022-01-25,,LAL,L,96,106,37,88,.420,7,27,.259,15,22,.682,18,54,20,5,2,18,12,NA,42,89,.472,12,38,.316,10,10,1.000,5,33,23,12,9,8,19,2022,BRK
48,48,2022-01-26,,DEN,L,118,124,43,88,.489,12,29,.414,20,26,.769,6,38,26,6,3,12,25,NA,42,89,.472,15,36,.417,25,27,.926,12,48,27,8,2,13,21,2022,BRK
49,49,2022-01-29,@,GSW,L,106,110,39,98,.398,11,28,.393,17,21,.810,18,52,21,7,10,10,15,NA,40,98,.408,14,45,.311,16,18,.889,16,55,24,8,8,10,23,2022,BRK
50,50,2022-02-01,@,PHO,L,111,121,40,81,.494,16,40,.400,15,21,.714,6,33,25,7,1,11,27,NA,42,76,.553,11,31,.355,26,31,.839,7,37,26,8,4,15,19,2022,BRK
51,51,2022-02-02,@,SAC,L,101,112,41,84,.488,8,25,.320,11,14,.786,10,40,22,7,12,13,16,NA,41,93,.441,14,42,.333,16,18,.889,15,48,23,8,7,11,15,2022,BRK
52,52,2022-02-04,@,UTA,L,102,125,41,99,.414,12,34,.353,8,11,.727,16,42,25,10,2,9,12,NA,48,85,.565,17,38,.447,12,14,.857,9,50,33,7,5,16,16,2022,BRK
53,53,2022-02-06,@,DEN,L,104,124,36,87,.414,16,41,.390,16,22,.727,8,36,24,8,9,10,19,NA,49,94,.521,10,32,.313,16,21,.762,11,55,37,7,2,10,20,2022,BRK
54,54,2022-02-08,,BOS,L,91,126,38,99,.384,10,36,.278,5,13,.385,15,40,22,6,4,13,18,NA,50,91,.549,14,40,.350,12,16,.750,11,52,32,6,8,13,14,2022,BRK
55,55,2022-02-10,@,WAS,L,112,113,39,84,.464,10,29,.345,24,28,.857,12,42,19,6,3,10,21,NA,43,85,.506,11,31,.355,16,18,.889,10,41,29,7,5,11,23,2022,BRK
56,56,2022-02-12,@,MIA,L,111,115,42,93,.452,12,40,.300,15,22,.682,9,41,16,12,2,8,27,NA,41,82,.500,10,29,.345,23,29,.793,10,52,20,6,1,15,21,2022,BRK
57,57,2022-02-14,,SAC,W,109,85,43,84,.512,9,26,.346,14,15,.933,6,49,25,7,5,16,22,NA,31,90,.344,9,35,.257,14,18,.778,11,43,12,8,4,18,17,2022,BRK
58,58,2022-02-16,@,NYK,W,111,106,43,98,.439,11,34,.324,14,23,.609,16,51,21,5,1,9,16,NA,37,85,.435,16,43,.372,16,18,.889,10,44,22,7,9,9,17,2022,BRK
59,59,2022-02-17,,WAS,L,103,117,36,89,.404,14,38,.368,17,24,.708,15,42,19,6,5,15,20,NA,46,83,.554,12,24,.500,13,16,.813,8,38,26,10,7,15,21,2022,BRK
60,60,2022-02-24,,BOS,L,106,129,39,94,.415,7,29,.241,21,28,.750,8,38,25,8,4,10,16,NA,46,85,.541,17,42,.405,20,27,.741,8,48,28,9,3,13,20,2022,BRK
61,61,2022-02-26,@,MIL,W,126,123,44,92,.478,13,34,.382,25,33,.758,12,40,24,7,5,7,24,NA,41,78,.526,16,38,.421,25,38,.658,4,43,24,4,0,14,26,2022,BRK
62,62,2022-02-28,,TOR,L,97,133,33,86,.384,12,35,.343,19,24,.792,14,45,23,4,5,22,20,NA,51,99,.515,18,38,.474,13,22,.591,16,47,35,17,5,12,20,2022,BRK
63,63,2022-03-01,@,TOR,L,108,109,42,84,.500,10,25,.400,14,19,.737,7,37,21,3,5,12,21,NA,41,90,.456,7,23,.304,20,23,.870,16,48,27,5,2,13,19,2022,BRK
64,64,2022-03-03,,MIA,L,107,113,39,83,.470,12,31,.387,17,22,.773,7,30,24,5,5,13,24,NA,40,77,.519,10,30,.333,23,28,.821,5,35,27,8,6,13,22,2022,BRK
65,65,2022-03-06,@,BOS,L,120,126,45,89,.506,12,27,.444,18,20,.900,12,45,24,6,4,15,26,NA,40,83,.482,17,36,.472,29,38,.763,10,37,25,9,7,10,19,2022,BRK
66,66,2022-03-08,@,CHO,W,132,121,46,82,.561,18,35,.514,22,29,.759,6,38,33,8,4,16,20,NA,45,92,.489,13,41,.317,18,22,.818,10,41,26,12,3,15,24,2022,BRK
67,67,2022-03-10,@,PHI,W,129,100,51,91,.560,18,40,.450,9,17,.529,10,45,29,13,15,11,22,NA,30,93,.323,14,36,.389,26,30,.867,17,50,19,5,5,18,19,2022,BRK
68,68,2022-03-13,,NYK,W,110,107,44,89,.494,6,29,.207,16,22,.727,12,39,30,11,3,13,19,NA,39,83,.470,11,29,.379,18,21,.857,11,40,27,8,5,16,21,2022,BRK
69,69,2022-03-15,@,ORL,W,150,108,53,88,.602,16,27,.593,28,34,.824,7,48,35,9,4,12,23,NA,36,95,.379,15,41,.366,21,27,.778,11,37,25,2,4,12,25,2022,BRK
70,70,2022-03-16,,DAL,L,111,113,45,91,.495,9,26,.346,12,15,.800,19,45,28,2,2,11,21,NA,41,83,.494,12,34,.353,19,19,1.000,9,37,21,5,2,10,17,2022,BRK
71,71,2022-03-18,,POR,W,128,123,45,77,.584,10,25,.400,28,33,.848,13,45,24,7,4,21,22,NA,48,96,.500,13,35,.371,14,24,.583,17,37,29,14,4,13,26,2022,BRK
72,72,2022-03-21,,UTA,W,114,106,45,83,.542,11,30,.367,13,15,.867,7,41,31,5,4,14,19,NA,37,83,.446,14,39,.359,18,22,.818,11,37,18,8,7,13,16,2022,BRK
73,73,2022-03-23,@,MEM,L,120,132,43,87,.494,9,25,.360,25,27,.926,10,39,18,6,10,14,20,NA,47,101,.465,19,38,.500,19,22,.864,16,46,28,8,7,12,22,2022,BRK
74,74,2022-03-26,@,MIA,W,110,95,39,83,.470,11,33,.333,21,26,.808,11,40,26,15,5,13,22,NA,33,75,.440,10,34,.294,19,26,.731,6,39,20,7,5,21,23,2022,BRK
75,75,2022-03-27,,CHO,L,110,119,43,97,.443,7,34,.206,17,26,.654,14,50,30,9,11,9,20,NA,42,98,.429,17,32,.531,18,23,.783,17,53,26,6,2,11,22,2022,BRK
76,76,2022-03-29,,DET,W,130,123,42,76,.553,15,28,.536,31,34,.912,8,41,24,9,6,19,19,NA,48,99,.485,16,38,.421,11,13,.846,16,39,28,11,4,12,25,2022,BRK
77,77,2022-03-31,,MIL,L,119,120,45,97,.464,18,37,.486,11,16,.688,5,41,31,12,7,16,25,NA,40,89,.449,12,41,.293,28,34,.824,11,57,17,12,3,22,14,2022,BRK
78,78,2022-04-02,@,ATL,L,115,122,42,99,.424,17,37,.459,14,19,.737,10,52,17,5,3,13,29,NA,36,86,.419,13,41,.317,37,49,.755,10,54,18,10,4,6,18,2022,BRK
79,79,2022-04-05,,HOU,W,118,105,39,86,.453,15,37,.405,25,27,.926,12,52,22,6,9,16,23,NA,40,99,.404,11,43,.256,14,25,.560,18,48,18,8,6,11,20,2022,BRK
80,80,2022-04-06,@,NYK,W,110,98,41,93,.441,14,41,.341,14,18,.778,13,49,28,7,6,13,26,NA,32,83,.386,13,38,.342,21,36,.583,10,42,22,4,7,11,19,2022,BRK
81,81,2022-04-08,,CLE,W,118,107,43,92,.467,12,32,.375,20,21,.952,13,45,30,5,8,10,20,NA,40,82,.488,8,27,.296,19,24,.792,10,31,19,4,4,8,20,2022,BRK
82,82,2022-04-10,,IND,W,134,126,52,81,.642,8,22,.364,22,25,.880,8,50,30,5,6,20,16,NA,47,104,.452,19,46,.413,13,19,.684,11,30,32,16,1,7,23,2022,BRK
1,1,2021-10-21,,DAL,W,113,87,45,94,.479,15,35,.429,8,9,.889,6,55,31,8,9,13,16,NA,31,93,.333,13,43,.302,12,13,.923,10,50,16,7,3,15,21,2022,ATL
2,2,2021-10-23,@,CLE,L,95,101,38,99,.384,10,34,.294,9,15,.600,17,54,20,5,3,9,23,NA,37,89,.416,7,28,.250,20,27,.741,12,54,23,6,6,10,16,2022,ATL
3,3,2021-10-25,,DET,W,122,104,46,90,.511,12,32,.375,18,21,.857,10,49,24,11,3,13,19,NA,40,91,.440,9,33,.273,15,18,.833,11,36,26,7,6,14,15,2022,ATL
4,4,2021-10-27,@,NOP,W,102,99,40,96,.417,8,30,.267,14,17,.824,21,55,21,4,4,11,14,NA,40,93,.430,11,36,.306,8,9,.889,9,44,24,5,6,9,19,2022,ATL
5,5,2021-10-28,@,WAS,L,111,122,48,88,.545,6,21,.286,9,14,.643,6,43,26,4,3,13,16,NA,46,99,.465,13,34,.382,17,21,.810,14,51,26,6,4,6,16,2022,ATL
6,6,2021-10-30,@,PHI,L,94,122,36,95,.379,8,22,.364,14,19,.737,20,49,24,6,1,19,17,NA,46,86,.535,12,38,.316,18,19,.947,5,37,24,11,6,12,24,2022,ATL
7,7,2021-11-01,,WAS,W,118,111,38,83,.458,13,34,.382,29,29,1.000,13,47,24,9,5,11,17,NA,41,86,.477,13,39,.333,16,16,1.000,7,36,27,7,4,12,24,2022,ATL
8,8,2021-11-03,@,BRK,L,108,117,41,94,.436,13,35,.371,13,15,.867,12,52,23,8,4,14,16,NA,43,88,.489,22,48,.458,9,12,.750,7,42,34,7,8,14,18,2022,ATL
9,9,2021-11-04,,UTA,L,98,116,35,82,.427,7,28,.250,21,26,.808,5,32,18,11,4,9,24,NA,41,81,.506,17,41,.415,17,23,.739,8,46,30,6,4,14,20,2022,ATL
10,10,2021-11-06,@,PHO,L,117,121,42,97,.433,13,33,.394,20,23,.870,14,50,18,3,1,12,16,NA,45,88,.511,14,43,.326,17,21,.810,5,42,26,8,6,12,22,2022,ATL
11,11,2021-11-08,@,GSW,L,113,127,38,82,.463,17,43,.395,20,26,.769,3,35,21,6,2,18,16,NA,44,92,.478,18,44,.409,21,22,.955,10,39,31,13,4,13,22,2022,ATL
12,12,2021-11-09,@,UTA,L,98,110,37,85,.435,18,35,.514,6,10,.600,6,32,22,6,5,11,18,NA,41,81,.506,15,38,.395,13,16,.813,8,44,21,8,4,14,20,2022,ATL
13,13,2021-11-12,@,DEN,L,96,105,38,93,.409,5,28,.179,15,21,.714,14,50,20,2,5,8,20,NA,40,90,.444,10,35,.286,15,20,.750,10,49,26,6,5,7,21,2022,ATL
14,14,2021-11-14,,MIL,W,120,100,47,97,.485,15,35,.429,11,13,.846,15,51,21,6,1,12,19,NA,38,84,.452,14,41,.341,10,16,.625,4,30,24,8,3,11,17,2022,ATL
15,15,2021-11-15,,ORL,W,129,111,47,85,.553,14,30,.467,21,32,.656,9,46,32,10,7,11,17,NA,43,95,.453,16,43,.372,9,14,.643,12,41,30,8,5,16,27,2022,ATL
16,16,2021-11-17,,BOS,W,110,99,41,81,.506,13,37,.351,15,18,.833,6,40,28,9,4,11,17,NA,37,84,.440,11,41,.268,14,17,.824,12,42,24,9,2,14,17,2022,ATL
17,17,2021-11-20,,CHO,W,115,105,43,82,.524,12,34,.353,17,21,.810,8,46,24,6,6,12,22,NA,43,102,.422,10,40,.250,9,15,.600,20,51,26,6,2,10,22,2022,ATL
18,18,2021-11-22,,OKC,W,113,101,42,87,.483,14,34,.412,15,16,.938,8,44,25,6,6,7,16,NA,39,97,.402,10,38,.263,13,14,.929,16,50,24,5,5,8,15,2022,ATL
19,19,2021-11-24,@,SAS,W,124,106,45,88,.511,12,26,.462,22,24,.917,8,44,26,10,5,9,11,NA,43,100,.430,12,33,.364,8,10,.800,15,44,27,8,4,12,16,2022,ATL
20,20,2021-11-26,@,MEM,W,132,100,52,89,.584,13,27,.481,15,21,.714,9,49,33,8,5,12,15,NA,37,91,.407,12,38,.316,14,19,.737,10,36,27,8,7,13,19,2022,ATL
21,21,2021-11-27,,NYK,L,90,99,33,93,.355,9,37,.243,15,20,.750,13,52,18,8,6,6,17,NA,36,82,.439,11,29,.379,16,22,.727,8,50,20,4,3,10,17,2022,ATL
22,22,2021-12-01,@,IND,W,114,111,44,86,.512,16,33,.485,10,12,.833,7,41,24,4,8,13,15,NA,44,90,.489,10,33,.303,13,16,.813,8,40,23,8,4,10,18,2022,ATL
23,23,2021-12-03,,PHI,L,96,98,31,76,.408,10,28,.357,24,30,.800,11,47,20,5,3,14,20,NA,38,81,.469,9,22,.409,13,17,.765,6,40,22,8,5,11,24,2022,ATL
24,24,2021-12-05,,CHO,L,127,130,48,93,.516,17,37,.459,14,18,.778,10,45,29,4,3,10,19,NA,46,86,.535,17,37,.459,21,28,.750,7,39,21,9,3,6,18,2022,ATL
25,25,2021-12-06,@,MIN,W,121,110,40,90,.444,25,49,.510,16,19,.842,11,49,31,5,8,10,20,NA,39,98,.398,17,40,.425,15,19,.789,16,50,22,9,5,8,17,2022,ATL
26,26,2021-12-10,,BRK,L,105,113,37,94,.394,11,34,.324,20,24,.833,16,49,21,10,3,14,19,NA,46,93,.495,6,23,.261,15,16,.938,9,41,26,9,7,13,22,2022,ATL
27,27,2021-12-13,,HOU,L,126,132,42,85,.494,15,39,.385,27,31,.871,8,40,20,9,6,12,26,NA,46,96,.479,19,46,.413,21,27,.778,12,45,27,8,5,11,24,2022,ATL
28,28,2021-12-15,@,ORL,W,111,99,42,85,.494,11,31,.355,16,16,1.000,6,40,25,11,5,13,16,NA,35,90,.389,10,35,.286,19,21,.905,12,46,25,4,2,16,17,2022,ATL
29,29,2021-12-17,,DEN,L,115,133,41,88,.466,7,24,.292,26,34,.765,10,37,22,6,3,15,17,NA,50,86,.581,17,38,.447,16,18,.889,4,38,35,9,7,14,22,2022,ATL
30,30,2021-12-22,,ORL,L,98,104,32,80,.400,12,31,.387,22,29,.759,13,49,21,4,8,14,19,NA,38,85,.447,11,37,.297,17,23,.739,8,40,27,11,5,10,24,2022,ATL
31,31,2021-12-23,@,PHI,W,98,96,37,82,.451,7,24,.292,17,19,.895,11,46,20,5,4,10,19,NA,33,80,.413,6,27,.222,24,26,.923,8,38,20,8,7,8,13,2022,ATL
32,32,2021-12-25,@,NYK,L,87,101,33,87,.379,13,38,.342,8,14,.571,8,46,23,8,5,12,12,NA,38,85,.447,20,50,.400,5,12,.417,9,50,28,6,6,10,13,2022,ATL
33,33,2021-12-27,,CHI,L,118,130,40,89,.449,15,34,.441,23,26,.885,11,45,22,3,5,10,14,NA,51,94,.543,18,37,.486,10,14,.714,9,44,29,5,6,7,19,2022,ATL
34,34,2021-12-29,@,CHI,L,117,131,44,92,.478,11,26,.423,18,26,.692,10,37,26,6,3,11,17,NA,52,84,.619,10,22,.455,17,22,.773,6,41,38,9,6,13,18,2022,ATL
35,35,2021-12-31,@,CLE,W,121,118,43,97,.443,16,38,.421,19,21,.905,14,44,23,8,4,2,23,NA,48,84,.571,8,25,.320,14,24,.583,8,46,27,1,8,9,18,2022,ATL
36,36,2022-01-03,@,POR,L,131,136,48,88,.545,14,41,.341,21,24,.875,9,39,31,6,1,12,24,NA,47,89,.528,18,41,.439,24,28,.857,12,41,29,10,3,9,19,2022,ATL
37,37,2022-01-05,@,SAC,W,108,102,39,86,.453,8,30,.267,22,30,.733,10,48,20,8,5,10,14,NA,38,90,.422,11,27,.407,15,20,.750,10,47,15,6,1,11,20,2022,ATL
38,38,2022-01-07,@,LAL,L,118,134,43,96,.448,13,36,.361,19,27,.704,13,54,29,3,0,15,18,NA,50,101,.495,17,41,.415,17,19,.895,8,47,37,14,4,8,26,2022,ATL
39,39,2022-01-09,@,LAC,L,93,106,35,78,.449,7,26,.269,16,19,.842,6,39,19,6,2,13,14,NA,44,92,.478,12,33,.364,6,7,.857,13,47,24,5,4,12,18,2022,ATL
40,40,2022-01-12,,MIA,L,91,115,31,82,.378,13,45,.289,16,23,.696,6,37,20,8,3,14,15,NA,43,90,.478,16,45,.356,13,14,.929,10,54,28,7,4,14,20,2022,ATL
41,41,2022-01-14,@,MIA,L,118,124,38,79,.481,16,38,.421,26,30,.867,9,34,26,6,6,15,27,NA,41,77,.532,14,30,.467,28,30,.933,9,37,30,6,5,15,27,2022,ATL
42,42,2022-01-15,,NYK,L,108,117,40,80,.500,16,44,.364,12,17,.706,4,31,23,5,5,9,20,NA,42,83,.506,13,31,.419,20,26,.769,11,44,24,2,0,8,20,2022,ATL
43,43,2022-01-17,,MIL,W,121,114,38,86,.442,15,36,.417,30,32,.938,10,46,25,7,8,13,18,NA,39,88,.443,16,38,.421,20,24,.833,9,42,21,8,4,13,28,2022,ATL
44,44,2022-01-19,,MIN,W,134,122,45,86,.523,15,38,.395,29,33,.879,8,39,34,7,9,11,23,NA,42,97,.433,17,46,.370,21,29,.724,16,45,21,10,3,13,24,2022,ATL
45,45,2022-01-21,,MIA,W,110,108,38,68,.559,14,33,.424,20,24,.833,6,36,26,3,1,16,17,NA,41,85,.482,15,40,.375,11,12,.917,11,33,30,8,1,15,22,2022,ATL
46,46,2022-01-23,@,CHO,W,113,91,40,88,.455,15,39,.385,18,24,.750,7,45,25,12,6,10,22,NA,34,87,.391,4,36,.111,19,27,.704,11,54,23,6,6,16,24,2022,ATL
47,47,2022-01-26,,SAC,W,121,104,48,90,.533,12,36,.333,13,17,.765,6,48,29,9,2,8,18,NA,39,93,.419,12,40,.300,14,19,.737,10,42,23,6,3,12,20,2022,ATL
48,48,2022-01-28,,BOS,W,108,92,41,89,.461,12,31,.387,14,20,.700,9,43,19,10,11,11,21,NA,30,86,.349,7,36,.194,25,27,.926,16,52,15,5,8,16,25,2022,ATL
49,49,2022-01-30,,LAL,W,129,121,49,84,.583,10,31,.323,21,32,.656,8,45,31,7,0,12,21,NA,47,87,.540,15,35,.429,12,23,.522,6,38,29,5,2,12,24,2022,ATL
50,50,2022-01-31,,TOR,L,100,106,37,81,.457,12,32,.375,14,16,.875,5,46,28,6,5,15,20,NA,38,89,.427,18,36,.500,12,17,.706,6,43,21,7,8,8,15,2022,ATL
51,51,2022-02-03,,PHO,W,124,115,44,84,.524,20,40,.500,16,22,.727,6,41,25,6,1,15,21,NA,46,88,.523,9,32,.281,14,18,.778,6,39,30,11,2,10,20,2022,ATL
52,52,2022-02-04,@,TOR,L,114,125,43,93,.462,9,29,.310,19,21,.905,13,40,27,12,4,9,16,NA,46,81,.568,17,27,.630,16,18,.889,8,45,29,7,4,14,18,2022,ATL
53,53,2022-02-06,@,DAL,L,94,103,37,95,.389,5,25,.200,15,16,.938,15,50,21,7,4,12,18,NA,38,88,.432,16,36,.444,11,13,.846,12,48,25,8,5,14,25,2022,ATL
54,54,2022-02-08,,IND,W,133,112,52,90,.578,17,33,.515,12,16,.750,10,43,36,8,7,14,26,NA,37,93,.398,10,31,.323,28,33,.848,18,43,22,10,4,13,16,2022,ATL
55,55,2022-02-11,,SAS,L,121,136,47,103,.456,14,43,.326,13,15,.867,17,49,28,10,5,14,18,NA,50,90,.556,18,32,.563,18,21,.857,5,41,37,11,4,14,21,2022,ATL
56,56,2022-02-13,@,BOS,L,95,105,34,93,.366,12,38,.316,15,15,1.000,11,48,18,6,3,13,22,NA,36,85,.424,11,38,.289,22,27,.815,12,54,21,5,6,12,15,2022,ATL
