Rk,G,Date,H_A,Opp_Team,W_L,Tm,Opp,FG,FGA,FGper,3P,3PA,3Pper,FT,FTA,FTper,ORB,TRB,AST,STL,BLK,TOV,PF,Blank,Opp_FG,Opp_FGA,Opp_FGper,Opp_3P,Opp_3PA,Opp_3Pper,Opp_FT,Opp_FTA,Opp_FTper,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,nba_season,gamelog_team
33,33,2021-12-25,@,MIL,L,113,117,38,89,.427,17,45,.378,20,24,.833,11,44,24,9,8,14,23,NA,43,91,.473,12,33,.364,19,27,.704,15,48,24,7,6,13,20,2022,BOS
34,34,2021-12-27,@,MIN,L,103,108,33,89,.371,16,47,.340,21,28,.750,15,53,23,8,10,14,16,NA,40,90,.444,14,34,.412,14,19,.737,11,53,30,7,5,14,17,2022,BOS
35,35,2021-12-29,,LAC,L,82,91,35,101,.347,4,42,.095,8,11,.727,21,50,19,8,8,8,16,NA,33,81,.407,11,28,.393,14,17,.824,9,49,17,5,4,14,12,2022,BOS
36,36,2021-12-31,,PHO,W,123,108,45,83,.542,10,27,.370,23,26,.885,13,51,28,6,7,17,18,NA,41,100,.410,11,35,.314,15,16,.938,15,37,20,10,2,9,21,2022,BOS
37,37,2022-01-02,,ORL,W,116,111,39,86,.453,13,36,.361,25,28,.893,9,46,25,5,10,21,23,NA,40,95,.421,9,27,.333,22,27,.815,10,45,17,12,3,14,24,2022,BOS
38,38,2022-01-05,,SAS,L,97,99,40,90,.444,9,28,.321,8,9,.889,13,41,19,10,9,8,12,NA,42,88,.477,10,26,.385,5,5,1.000,12,48,20,6,5,17,13,2022,BOS
39,39,2022-01-06,@,NYK,L,105,108,38,80,.475,17,45,.378,12,13,.923,8,38,22,5,10,12,16,NA,40,90,.444,18,36,.500,10,15,.667,11,42,23,8,1,8,17,2022,BOS
40,40,2022-01-08,,NYK,W,99,75,36,76,.474,12,29,.414,15,17,.882,9,45,26,8,8,10,15,NA,29,79,.367,11,31,.355,6,15,.400,11,40,13,8,4,12,15,2022,BOS
41,41,2022-01-10,,IND,W,101,98,35,88,.398,8,28,.286,23,28,.821,12,53,17,10,6,20,19,NA,36,94,.383,11,37,.297,15,17,.882,10,47,22,10,6,17,21,2022,BOS
42,42,2022-01-12,@,IND,W,119,100,40,78,.513,18,38,.474,21,25,.840,7,37,23,6,5,11,22,NA,40,86,.465,7,36,.194,13,20,.650,11,37,27,6,5,11,24,2022,BOS
43,43,2022-01-14,@,PHI,L,99,111,37,78,.474,11,31,.355,14,18,.778,7,44,20,4,4,20,21,NA,38,85,.447,14,41,.341,21,25,.840,7,40,26,12,4,9,19,2022,BOS
44,44,2022-01-15,,CHI,W,114,112,44,90,.489,9,26,.346,17,19,.895,17,50,27,6,6,11,15,NA,44,87,.506,12,29,.414,12,15,.800,7,32,31,3,3,6,19,2022,BOS
45,45,2022-01-17,,NOP,W,104,92,38,80,.475,10,32,.313,18,20,.900,5,47,22,6,4,14,18,NA,36,87,.414,9,30,.300,11,18,.611,8,41,23,10,4,11,15,2022,BOS
46,46,2022-01-19,,CHO,L,102,111,39,90,.433,14,46,.304,10,13,.769,8,38,27,8,3,14,20,NA,42,86,.488,16,39,.410,11,15,.733,11,47,27,6,6,15,17,2022,BOS
47,47,2022-01-21,,POR,L,105,109,37,82,.451,11,37,.297,20,23,.870,8,42,25,7,7,11,24,NA,36,76,.474,16,33,.485,21,30,.700,7,42,20,6,4,13,21,2022,BOS
48,48,2022-01-23,@,WAS,W,116,87,40,90,.444,19,39,.487,17,21,.810,11,57,26,5,3,13,16,NA,33,93,.355,8,34,.235,13,16,.813,9,44,20,8,6,6,14,2022,BOS
49,49,2022-01-25,,SAC,W,128,75,51,103,.495,20,45,.444,6,7,.857,17,67,32,6,6,11,12,NA,29,95,.305,6,33,.182,11,15,.733,15,45,15,7,8,10,14,2022,BOS
50,50,2022-01-28,@,ATL,L,92,108,30,86,.349,7,36,.194,25,27,.926,16,52,15,5,8,16,25,NA,41,89,.461,12,31,.387,14,20,.700,9,43,19,10,11,11,21,2022,BOS
51,51,2022-01-29,@,NOP,W,107,97,43,81,.531,14,41,.341,7,11,.636,6,43,31,6,7,14,19,NA,36,82,.439,8,32,.250,17,23,.739,9,40,22,8,0,13,14,2022,BOS
52,52,2022-01-31,,MIA,W,122,92,44,84,.524,16,42,.381,18,27,.667,9,44,24,9,6,10,15,NA,34,87,.391,17,44,.386,7,10,.700,10,38,25,6,2,18,22,2022,BOS
53,53,2022-02-02,,CHO,W,113,107,42,82,.512,14,36,.389,15,17,.882,6,42,31,9,5,18,21,NA,37,87,.425,12,40,.300,21,27,.778,14,46,18,12,4,16,20,2022,BOS
54,54,2022-02-04,@,DET,W,102,93,37,82,.451,9,28,.321,19,25,.760,11,55,23,4,9,13,17,NA,34,104,.327,10,26,.385,15,20,.750,20,56,18,5,4,11,24,2022,BOS
55,55,2022-02-06,@,ORL,W,116,83,45,99,.455,13,46,.283,13,14,.929,16,55,29,9,6,14,17,NA,29,81,.358,5,26,.192,20,21,.952,8,40,17,8,5,17,16,2022,BOS
56,56,2022-02-08,@,BRK,W,126,91,50,91,.549,14,40,.350,12,16,.750,11,52,32,6,8,13,14,NA,38,99,.384,10,36,.278,5,13,.385,15,40,22,6,4,13,18,2022,BOS
57,57,2022-02-11,,DEN,W,108,102,38,96,.396,10,37,.270,22,30,.733,18,54,24,13,8,12,20,NA,39,90,.433,11,44,.250,13,18,.722,12,52,23,7,6,21,22,2022,BOS
